hip_angle,knee_angle,hip_force_y,knee_force_y,hip_force_x,knee_force_x,hip_force_z,knee_force_z,hip_torque,knee_torque
-6.58962,18.0205,0.53704,0.00861029,0.274505,0.121379,1.40682,0.547325,-0.543929,0.224649
-6.58494,18.0303,0.53704,0.00861029,0.274505,0.121379,1.40682,0.547325,-0.543929,0.224649
-6.59516,18.0337,0.53704,0.00861029,0.274505,0.121379,1.40682,0.547325,-0.543929,0.224649
-6.60455,17.9914,0.53704,0.00861029,0.274505,0.121379,1.40682,0.547325,-0.543929,0.224649
-6.59147,18.0078,0.53704,0.00861029,0.274505,0.121379,1.40682,0.547325,-0.543929,0.224649
-6.59058,18.0677,0.594401,-0.0179821,0.276931,0.165704,1.40908,0.561171,-4.39735,2.9099
-6.57968,18.0516,0.604914,-0.0143046,0.264983,0.174213,1.42579,0.570875,-4.12973,3.86765
-6.57621,18.0635,0.609737,-0.00904051,0.251614,0.17973,1.44754,0.578636,-4.65609,3.67835
-6.55989,18.1156,0.625576,-0.0183616,0.248603,0.195014,1.45784,0.582737,-5.88507,4.20475
-6.55272,18.1227,0.634435,-0.0319799,0.256829,0.201784,1.44845,0.579504,-5.96395,4.76196
-6.53778,18.1529,0.631984,-0.0377888,0.272144,0.194495,1.42462,0.570486,-5.77987,4.4128
-6.51086,18.161,0.62535,-0.0345595,0.281716,0.182342,1.40321,0.561405,-5.15331,3.93123
-6.5069,18.1703,0.620457,-0.025522,0.278648,0.174734,1.39918,0.558321,-4.93543,3.32881
-6.50066,18.1545,0.622619,-0.0181388,0.266431,0.177513,1.41704,0.563302,-4.62025,3.4982
-6.49096,18.1626,0.630455,-0.0178423,0.2577,0.186876,1.44268,0.572418,-5.4054,3.66679
-6.48644,18.159,0.623922,-0.0156383,0.254553,0.187367,1.46013,0.579112,-5.85265,3.5549
-6.48109,18.1484,0.600246,-0.0115291,0.260683,0.17517,1.45579,0.578124,-4.51055,3.53168
-6.47135,18.1429,0.5804,-0.0143252,0.276241,0.164516,1.43415,0.571604,-4.67041,2.99426
-6.46478,18.1679,0.57655,-0.0200068,0.290039,0.161954,1.41384,0.565329,-4.52172,3.20193
-6.47409,18.1326,0.578579,-0.0188813,0.28623,0.163942,1.41313,0.564386,-4.07798,3.52289
-6.47494,18.1658,0.586066,-0.0125892,0.26784,0.172252,1.43061,0.569349,-5.34311,3.1558
-6.46525,18.1332,0.592336,-0.00745743,0.248609,0.18002,1.45432,0.576177,-5.1888,3.63376
-6.4537,18.1755,0.596437,-0.0115114,0.251029,0.182154,1.4646,0.578985,-5.42036,3.603
-6.45546,18.1581,0.596185,-0.0226685,0.272326,0.17641,1.45441,0.576189,-5.48822,3.5222
-6.46764,18.1661,0.591383,-0.0318096,0.294639,0.16854,1.432,0.570141,-4.89906,3.73266
-6.47978,18.17,0.590239,-0.0351302,0.301151,0.166082,1.41609,0.565275,-5.04412,3.6666
-6.48904,18.1921,0.597012,-0.0311928,0.292672,0.170537,1.41823,0.565043,-5.20931,3.94134
-6.48701,18.2158,0.604661,-0.0233539,0.278444,0.17717,1.43601,0.569066,-5.44514,4.11899
-6.48202,18.2459,0.60349,-0.0141243,0.268356,0.180264,1.45681,0.574231,-5.63293,4.12291
-6.49085,18.2715,0.591864,-0.00580054,0.269152,0.175281,1.46485,0.577373,-5.3163,3.88931
-6.50723,18.2656,0.575379,-0.00279818,0.278917,0.165107,1.4552,0.577406,-4.86176,3.58488
-6.52967,18.3146,0.574518,-0.0120543,0.293849,0.162368,1.43611,0.576254,-5.42553,3.35026
-6.54176,18.376,0.586376,-0.0280055,0.303075,0.169731,1.42493,0.575289,-5.19314,4.15059
-6.53719,18.4688,0.586392,-0.0314605,0.295295,0.174023,1.43134,0.572056,-6.32567,3.74118
-6.53245,18.5419,0.560687,-0.00795202,0.266079,0.161233,1.44831,0.563195,-4.29898,3.18598
-6.53962,18.5809,0.537891,0.0234796,0.233163,0.142394,1.45868,0.553005,-3.71428,1.808
-6.57372,18.7329,0.550723,0.0312896,0.232363,0.139411,1.44824,0.549794,-3.71714,1.33884
-6.56214,18.7581,0.588545,0.0057872,0.266463,0.157912,1.42505,0.555861,-3.74015,3.28262
-6.55774,18.9268,0.639553,-0.0290267,0.310408,0.18747,1.40636,0.569675,-7.02598,4.57859
-6.54004,19.02,0.658375,-0.0449367,0.326038,0.199026,1.40539,0.576203,-5.97312,5.97957
-6.52601,19.1905,0.659057,-0.0379775,0.316989,0.201377,1.42612,0.582857,-7.5378,5.55863
-6.52426,19.2595,0.64033,-0.0274308,0.292639,0.198183,1.45487,0.58615,-6.33818,4.89712
-6.51023,19.4333,0.635244,-0.0178081,0.271387,0.203894,1.47064,0.587095,-6.85195,4.4268
-6.49907,19.5499,0.631073,-0.0109988,0.25651,0.203313,1.45825,0.576688,-7.68661,3.20962
-6.47925,19.6577,0.631025,-0.00677255,0.255504,0.200233,1.42276,0.561617,-6.07011,3.02682
-6.43504,19.7892,0.633988,-0.0108806,0.264582,0.203528,1.3856,0.550142,-7.16533,2.85191
